date,open,high,low,close,volume,marketcap,google_trends,wiki_page_views,twitter_followers_growth,gold_pm,silver,platinum_pm,palladium_pm,oil_price,usd_eur,usd_jpy,usd_gbp,usd_cny,SP500,Dow_Jones,Nasdaq,Russell,FTSE,Nikkei,SSE,VIX,NVIDIA,Google,hash_rate,miners_revenue,avg_block_size,difficulty,est_transc_volume,num_unique_address,BECI
20/5/18,8246.99,8562.41,8205.24,8513.25,5191059968,1.41E+11,6,15239,-372,1288.3,16.39,884,981,71.23,1.17809999,0.009146621,1.359200001,0.157810852,2712.969971,24715.08984,7354.339844,1626.630005,7778.799805,22930.35938,3193.302979,13.42000008,245.7879944,1066.359985,31722970.71,15829830.04,0.580258701,4.14E+12,69258.31275,378135,67.90955984
19/5/18,8255.73,8372.06,8183.35,8247.18,4712399872,1.41E+11,6,14822,266,1288.3,16.39,884,981,71.23,1.17809999,0.009146621,1.359200001,0.157810852,2712.969971,24715.08984,7354.339844,1626.630005,7778.799805,22930.35938,3193.302979,13.42000008,245.7879944,1066.359985,30487010.81,15433623.02,0.839280155,4.14E+12,216876.9994,499647,67.74355001
18/5/18,8091.83,8274.12,7974.82,8250.97,5764190208,1.38E+11,7,18814,68,1288.3,16.39,884,981,71.23,1.17809999,0.009146621,1.359200001,0.157810852,2712.969971,24715.08984,7354.339844,1626.630005,7778.799805,22930.35938,3193.302979,13.42000008,245.7879944,1066.359985,27191117.75,13537217.62,0.860254947,4.14E+12,237024.3079,420624,67.58386406
17/5/18,8370.05,8445.54,8054.12,8094.32,5862530048,1.43E+11,7,14659,243,1289.5,16.385,890,991,71.47,1.18050015,0.009146621,1.359200001,0.157810852,2720.129883,24713.98047,7382.470215,1625.290039,7788,22838.36914,3154.282959,13.43000031,247.5569153,1078.589966,36872803.62,18670664.41,0.60659714,4.14E+12,162304.7101,455066,67.29751406
16/5/18,8504.41,8508.43,8175.49,8368.83,6760220160,1.45E+11,7,13854,597,1291.25,16.255,894,987,71.43,1.17839992,0.009146621,1.359200001,0.157810852,2722.459961,24768.92969,7398.299805,1616.369995,7734.200195,22717.23047,3169.564941,13.42000008,245.8579559,1081.77002,30075024.18,15533410.85,0.791380507,4.14E+12,127053.6146,477898,67.13791298
15/5/18,8705.19,8836.19,8456.45,8510.38,6705710080,1.48E+11,7,14494,203,1295,16.41,901,970,71.34,1.188300014,0.009146621,1.359200001,0.157810852,2711.449951,24706.41016,7351.629883,1600.339966,7723,22818.01953,3192.11792,14.63000011,245.4082336,1079.22998,27191117.75,14284515.29,0.872704273,4.14E+12,215607.8296,469797,66.97578817
14/5/18,8713.1,8881.12,8367.97,8716.79,7364149760,1.48E+11,8,14094,550,1319.85,16.645,921,1005,71.01,1.198800087,0.009146621,1.359200001,0.157810852,2730.129883,24899.41016,7411.319824,1600.339966,7711,22865.85938,3174.031982,12.93000031,255.202179,1100.199951,30487010.81,16146155.58,0.576345047,4.14E+12,72791.52753,364084,66.80724637
13/5/18,8515.49,8773.55,8395.12,8723.94,5866379776,1.45E+11,7,12482,737,1324.35,16.76,926,1004,70.69,1.193400025,0.009139932,1.357499838,0.157634228,2727.719971,24831.16992,7402.879883,1606.790039,7724.600098,22758.48047,3163.262939,12.64999962,254.3726959,1098.26001,33988897.19,17498965,0.644236685,4.14E+12,108302.4336,434890,66.6376244
12/5/18,8441.44,8664.86,8223.5,8504.89,6821380096,1.44E+11,7,12808,473,1324.35,16.76,926,1004,70.69,1.193400025,0.009139932,1.357499838,0.157634228,2727.719971,24831.16992,7402.879883,1606.790039,7724.600098,22758.48047,3163.262939,12.64999962,254.3726959,1098.26001,26161151.17,13452669.74,1.075571205,4.14E+12,150246.7696,510498,66.46633221
11/5/18,9052.96,9052.96,8394.46,8441.49,8488520192,1.54E+11,9,14754,525,1324.35,16.76,926,1004,70.69,1.193400025,0.009139932,1.357499838,0.157634228,2727.719971,24831.16992,7402.879883,1606.790039,7724.600098,22758.48047,3163.262939,12.64999962,254.3726959,1098.26001,30790397.65,17520355.42,0.733376695,4.02E+12,145490.5842,465045,66.17383574
